Record_ID,Name,Age,Salary,Date_Joined,Department,Performance_Score,Status,Outlier_Flag,Validation_Flag,Comments
5119,Amanda Sims,,,2020-03-01,HR,3.91,Inactive,,Invalid,
8932,Derrick Duffy,,74804.57,2021-12-28,Sales,,Inactive,,Valid,Exceeds expectations
8516,Nancy Calhoun,80.0,146085.11,03-07-2023 09:44:04,IT,,On Leave,,Invalid,Needs improvement in time management
7283,Mitchell Hughes,26.0,,2019-02-17,Finance,2.87,Active,Normal,Valid,Needs improvement in time management
7624,Barbara Tyler,,,2017-02-23,IT,,Active,,Invalid,Great performer
6030,Donald Garcia,53.0,100155.3,2024-03-06,Sales,,On Leave,Normal,,Exceeds expectations
3330,Madison Chandler,45.0,,2019-01-28,Finance,,On Leave,Normal,Valid,Struggles with deadlines
8935,Dennis Goodwin,,126479.78,2017-10-21,Sales,,On Leave,,Invalid,Great performer
3880,Robert Escobar,80.0,,2016-11-10,Sales,3.69,Inactive,Normal,Valid,Great performer
3782,Andrew Munoz,,,2015-08-10,Finance,4.5,Active,,Invalid,Great performer
1670,Katherine Nelson,62.0,40501.67,2019-09-09,HR,,On Leave,Normal,Invalid,Exceeds expectations
2109,Cassandra Swanson,15.0,112128.08,2017-08-10,IT,,On Leave,,Valid,Needs improvement in time management
3038,Brian Walters,60.0,146848.0,2021-01-07,Finance,,Inactive,Normal,,Great performer
9626,Christopher Blair,,,2020-04-04,HR,1.63,Inactive,,Valid,Exceeds expectations
3541,John Rivera,50.0,,2019-01-03,HR,,On Leave,Normal,Valid,
8963,Chelsea Chang,,,2021-01-18,IT,4.26,On Leave,,,Exceeds expectations
5390,Steven Mora,41.0,,2021-01-28,HR,,Active,Normal,,Exceeds expectations
9297,Audrey Roberts,,58766.2,2017-12-30,Finance,,Inactive,,,Exceeds expectations
1278,Lori White,55.0,,2023-02-09,IT,,Active,Normal,,Needs improvement in time management
3530,William Gilmore,58.0,,2019-03-14,Finance,,Active,Normal,Valid,
1881,Lisa Hendrix,,,2025-01-07,Marketing,,Inactive,,Valid,Needs improvement in time management
9570,Valerie Brown,,,2015-01-20,IT,3.79,On Leave,,Invalid,Needs improvement in time management
3060,Meagan Martinez,68.0,116979.13,2015-03-18,IT,,Active,Outlier,Invalid,Exceeds expectations
1958,Drew Forbes,63.0,83489.74,2017-08-13,Sales,1.45,Inactive,Normal,,Struggles with deadlines
1195,Heidi Rice,44.0,,2021-08-04,Sales,,On Leave,Normal,Valid,Great performer
4640,Becky Terrell,,,2023-11-25,Finance,,Active,,Invalid,Struggles with deadlines
6876,Kathy Webb,39.0,,2024-10-15,Finance,,Active,Normal,Invalid,Exceeds expectations
5653,David Collins,44.0,,2018-11-22,Sales,4.3,Inactive,Normal,Invalid,Struggles with deadlines
3185,Sarah Johnson,63.0,57607.7,30-12-2024 11:27:14,Sales,,Inactive,Normal,Valid,Needs improvement in time management
3786,David Gonzales,15.0,116871.12,2024-08-04,Sales,,Inactive,,,
9955,Michelle Martinez,,,2022-06-15,HR,3.33,Active,,,
2927,Alexander Scott,53.0,,2023-09-19,HR,,On Leave,Normal,Valid,Needs improvement in time management
6081,Steven Hoffman,42.0,147394.0,2015-07-04,Finance,1.85,On Leave,Normal,,
1524,Molly Garcia,59.0,,2023-07-26,Finance,1.89,Inactive,Normal,Invalid,
6430,Barbara Soto,59.0,,2020-11-21,HR,,Inactive,Normal,,Great performer
3720,Tanya Oliver,47.0,,2023-07-03,Finance,,Active,Normal,,Struggles with deadlines
7977,Tonya Russell,,,2021-07-19,IT,,Active,,Invalid,Needs improvement in time management
1069,Michael Jones,,50806.73,2018-12-29,Sales,,Active,,Valid,Great performer
5467,Mr. Anthony Bradshaw,47.0,129268.18,2015-08-27,Sales,3.54,Inactive,Normal,Invalid,Great performer
1579,Michael Jackson,22.0,115853.34,2023-01-09,HR,2.95,On Leave,Normal,Valid,Struggles with deadlines
4903,Joseph Sloan,61.0,,2020-04-08,Marketing,2.04,Active,Normal,Valid,Exceeds expectations
9988,Candice Stevens,,,2020-10-31,IT,3.76,Active,,,Exceeds expectations
8171,Sharon Duke,,,2024-07-18,HR,2.2,On Leave,,Invalid,Struggles with deadlines
2630,Nancy Jones,,,2015-03-29,HR,,Inactive,,Valid,Needs improvement in time management
5318,Michael Wilson,25.0,,2019-02-01,Finance,1.13,Inactive,Normal,Invalid,
1079,Timothy Wells,,,2021-12-02,HR,,On Leave,,Invalid,Exceeds expectations
5118,Jonathan Paul,,200000.0,2019-11-30,Marketing,4.72,Inactive,,Valid,Needs improvement in time management
711,Robert Sanders,,84171.64,2023-01-13,IT,,On Leave,,,Struggles with deadlines
4140,Anthony Branch,63.0,,2024-02-04,Finance,4.17,Active,Normal,Valid,Exceeds expectations
2110,Charles Marks,,53978.83,2024-12-29,Sales,,On Leave,,Valid,Exceeds expectations
9925,Russell Burns,42.0,,2015-02-16,Sales,,Active,Normal,,Struggles with deadlines
544,Ms. Kaylee Moore,,37032.02,2018-06-07,Sales,,Active,,Valid,Struggles with deadlines
36,Thomas Reyes,59.0,,06-03-2024 19:29:01,IT,2.13,On Leave,Normal,Valid,Struggles with deadlines
8920,Steven Hall,35.0,133627.8,2022-10-18,Marketing,2.48,Inactive,Normal,,Exceeds expectations
9199,Keith Hernandez,50.0,,2019-04-03,Sales,,Active,Normal,,Needs improvement in time management
6640,Emily Terry,70.0,,2019-10-18,Finance,1.12,On Leave,Outlier,,Exceeds expectations
8077,Danny Ray,48.0,,2018-12-03,Finance,1.25,On Leave,Normal,Valid,Struggles with deadlines
2458,Wendy Barnes,,,2016-01-22,Sales,2.78,Inactive,,Valid,Needs improvement in time management
1374,Logan Galvan,56.0,,2023-02-04,Sales,,On Leave,Normal,Invalid,Struggles with deadlines
34,Joel Cruz MD,31.0,,2019-05-08,Sales,2.47,On Leave,Normal,Valid,Great performer
319,Phillip Gonzalez,,134600.34,2019-02-11,HR,,Inactive,,Invalid,Great performer
5004,Rodney Smith,27.0,,11-04-2020 03:22:03,IT,3.86,Active,Normal,Valid,Great performer
2284,Carl Ortega,,69134.06,2018-08-05,HR,3.03,Active,Normal,Valid,Great performer
7727,Richard Watkins,,131641.39,2018-01-30,Sales,,Active,,Invalid,Great performer
2681,Alicia Casey,39.0,112404.08,2024-10-29,IT,,Inactive,Normal,Invalid,
4922,Matthew Cooley,,,2024-03-26,IT,2.07,On Leave,,,Exceeds expectations
2068,Andrew Perez,,74695.28,2020-09-01,IT,1.34,Inactive,,,
3101,Derrick Perez,19.0,48950.38,2016-01-21,HR,,Inactive,Outlier,Valid,
3835,Tony Summers,,78265.68,2022-10-28,Sales,4.75,Inactive,,Valid,Needs improvement in time management
5787,Elizabeth Morris,21.0,60296.16,2020-07-05,HR,,On Leave,Normal,Valid,Great performer
7919,Dr. Dawn Duncan DVM,,50028.87,2019-06-26,HR,4.79,Active,,,Needs improvement in time management
9346,Sarah Cortez,46.0,41341.46,2022-02-02,Finance,4.66,Inactive,Normal,Invalid,Struggles with deadlines
9894,Amy House,,,2024-01-11,Sales,4.19,Inactive,,Invalid,Needs improvement in time management
5639,Melissa Hanson,58.0,107372.86,2021-07-26,IT,4.05,Active,Normal,Invalid,Needs improvement in time management
5994,Cheryl Smith,65.0,,2018-01-23,Finance,,On Leave,Normal,Valid,Exceeds expectations
425,Mr. Michael Wilson DVM,,,2023-01-25,HR,,Inactive,,,Exceeds expectations
8741,Taylor Rubio,,,2023-07-18,Sales,,Active,,Invalid,
2593,Terry Porter MD,,,2016-05-10,Sales,,Inactive,,Invalid,Needs improvement in time management
5959,Lori Morton,,38581.8,2024-11-13,Sales,2.96,Inactive,,Valid,Great performer
8632,Jordan Hernandez,,,2020-08-22,IT,2.95,Inactive,,Invalid,Great performer
8656,Stephanie Costa,29.0,,2022-07-21,Marketing,,Inactive,Normal,Invalid,Great performer
3795,Margaret Lawrence,,,2021-09-10,IT,1.47,Active,,Invalid,Great performer
4930,Jennifer Brown,,,06-09-2023 01:06:06,HR,,Inactive,,Invalid,Great performer
6396,Jasmine Ross,,67011.41,2016-01-19,Sales,2.16,On Leave,,Invalid,Struggles with deadlines
1684,Warren Hernandez,,41092.5,2016-01-27,Sales,2.76,Active,,,
2877,Tracy Williams,18.0,60232.3,2020-12-20,IT,,Inactive,Outlier,,Needs improvement in time management
8919,Mrs. Beverly Ortiz,,,2021-02-14,Sales,1.82,Active,,Invalid,Needs improvement in time management
5573,Scott Hall,18.0,83294.58,2019-10-08,Marketing,1.91,Active,Outlier,Valid,Needs improvement in time management
347,Thomas Atkinson,,,2018-03-26,Marketing,4.26,Active,,Valid,Great performer
3449,Andrea Raymond,,,2016-03-08,IT,,On Leave,,Valid,Great performer
5012,Mary Ward,,129366.74,2021-06-27,HR,,On Leave,,Valid,Struggles with deadlines
9013,Matthew Hogan,,,2016-09-05,Sales,,Inactive,,Valid,Great performer
5225,Ashley Brown,,,2018-06-06,IT,,On Leave,,Invalid,Needs improvement in time management
5328,Patricia Villa,42.0,45784.02,2017-08-10,Finance,1.82,On Leave,Normal,Invalid,Struggles with deadlines
8710,Travis Peters,,,2024-01-18,Sales,,Inactive,,Valid,Struggles with deadlines
5652,Sarah Porter DDS,,,2017-08-07,Finance,2.87,Inactive,,Invalid,Exceeds expectations
8275,Robert Leonard,,,2017-02-10,Sales,,On Leave,Normal,Valid,Great performer
1651,Dr. Emma Gibson,,146692.44,2018-11-17,Marketing,,On Leave,,,
9119,Jessica Ramos,,67172.68,2021-06-04,Sales,,On Leave,,Invalid,
4697,Karen Roberts,46.0,110209.28,2024-11-14,Sales,2.59,Active,Normal,,Struggles with deadlines
470,Jocelyn Mcdonald,62.0,,2023-09-09,Sales,4.11,Active,Normal,Valid,Exceeds expectations
9879,Randall Hernandez,,,2015-02-13,Marketing,4.42,Inactive,,,Exceeds expectations
8234,Andrew Fowler,,115854.75,2022-01-27,IT,,Active,,Invalid,Exceeds expectations
968,Ruth Freeman,28.0,,2021-03-09,Marketing,,On Leave,Normal,Valid,Great performer
6197,William Moore,36.0,38839.41,2020-01-31,HR,,On Leave,Normal,Valid,Exceeds expectations
1331,Christy Mack,37.0,,2019-05-18,Sales,4.24,Active,Normal,,Great performer
451,Todd Warren,,31894.25,2019-01-18,HR,,Inactive,,,Needs improvement in time management
8941,Shirley Harding,,123533.65,2015-12-29,HR,,On Leave,,,Struggles with deadlines
8676,Vincent Hughes,,,2022-11-16,HR,2.25,Active,,,Struggles with deadlines
4793,William Smith,,,2023-10-24,Marketing,1.96,On Leave,,Valid,Struggles with deadlines
8759,Stephanie Griffith,18.0,,2021-09-13,Sales,,On Leave,Outlier,,Needs improvement in time management
